,Run,precision,recall,f1-score,support
Moderada,17,0.0,0.0,0.0,3.0
Muito leve,17,0.65,0.7878787878787878,0.7123287671232876,33.0
Muito severo,17,0.0,0.0,0.0,1.0
Sadia,17,0.78125,0.8333333333333334,0.8064516129032258,30.0
Severo,17,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
accuracy,17,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,17,0.49467442279942286,0.49635241301907973,0.4923977401054291,105.0
weighted avg,17,0.7118537414965985,0.7238095238095238,0.7126228352587167,105.0
Leve,18,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0
Moderada,18,0.0,0.0,0.0,3.0
Muito leve,18,0.75,0.6363636363636364,0.6885245901639344,33.0
Muito severo,18,0.0,0.0,0.0,1.0
Sadia,18,0.8,0.8,0.8,30.0
Severo,18,0.6153846153846154,0.7272727272727273,0.6666666666666666,11.0
accuracy,18,0.7238095238095238,0.7238095238095238,0.7238095238095238,0.7238095238095238
macro avg,18,0.4770590520590521,0.502581369248036,0.48697632058287793,105.0
weighted avg,18,0.7079753579753579,0.7238095238095238,0.7119489981785063,105.0
Leve,19,0.7241379310344828,0.7777777777777778,0.75,27.0
Moderada,19,0.0,0.0,0.0,3.0
Muito leve,19,0.6956521739130435,0.48484848484848486,0.5714285714285714,33.0
Muito severo,19,0.0,0.0,0.0,1.0
Sadia,19,0.6923076923076923,0.9,0.782608695652174,30.0
Severo,19,0.6923076923076923,0.8181818181818182,0.75,11.0
accuracy,19,0.6952380952380952,0.6952380952380952,0.6952380952380952,0.6952380952380952
macro avg,19,0.46740091492715186,0.4968013468013468,0.4756728778467909,105.0
weighted avg,19,0.6751701072540653,0.6952380952380952,0.674622892635315,105.0
Leve,20,0.8,0.5925925925925926,0.6808510638297872,27.0
Moderada,20,0.0,0.0,0.0,3.0
Muito leve,20,0.6857142857142857,0.7272727272727273,0.7058823529411765,33.0
Muito severo,20,0.0,0.0,0.0,1.0
Sadia,20,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
Severo,20,0.6428571428571429,0.8181818181818182,0.72,11.0
accuracy,20,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
